Uniprot ID,Gene-name,Lung,,,Spleen (White pulp),,,Liver,,,Heart,,, Renal cortex,,,Renal medulla,,,Testis,,,Thyroid,,
P02794,FTH1,,,,1.1749 ,0.0090 ,0.0394 ,,,,0.4454 ,0.0017 ,0.0110 ,,,,,,,,,,,,
P03891,MT-ND2,,,,,,,,,,0.5515 ,0.0027 ,0.0153 ,,,,,,,,,,,,
P03905,MT-ND4,,,,,,,,,,0.3216 ,0.0002 ,0.0022 ,,,,,,,,,,,,
P03915,MT-ND5,,,,,,,,,,,,,,,,0.7320 ,0.0026 ,0.0427 ,,,,,,
P03928,MT-ATP8,0.8734 ,0.0020 ,0.0156 ,,,,,,,,,,,,,,,,,,,,,
P03950,ANG,,,,,,,,,,-0.8104 ,0.0032 ,0.0172 ,-1.4274 ,0.0015 ,0.0108 ,,,,,,,,,
P03951,F11,-0.9249 ,0.0071 ,0.0385 ,,,,,,,,,,-0.6186 ,0.0004 ,0.0041 ,-0.5768 ,0.0024 ,0.0411 ,,,,,,
P03952,KLKB1,-1.2138 ,0.0032 ,0.0222 ,,,,,,,,,,-0.6276 ,0.0059 ,0.0308 ,,,,,,,-0.8340 ,0.0002 ,0.0040 
P04003,C4BPA,,,,,,,0.7314 ,0.0000 ,0.0002 ,,,,,,,,,,,,,-1.2804 ,0.0051 ,0.0325 
P04004,VTN,,,,1.1585 ,0.0021 ,0.0138 ,0.6203 ,0.0032 ,0.0162 ,,,,,,,,,,,,,,,
P04040,CAT,-0.7595 ,0.0020 ,0.0156 ,-0.6665 ,0.0013 ,0.0099 ,-0.6417 ,0.0019 ,0.0108 ,,,,-0.3527 ,0.0006 ,0.0057 ,,,,,,,,,
P04062,GBA,1.0375 ,0.0000 ,0.0000 ,0.8916 ,0.0002 ,0.0024 ,0.7650 ,0.0003 ,0.0024 ,,,,,,,,,,,,,0.7328 ,0.0008 ,0.0099 
P04070,PROC,,,,,,,,,,,,,-0.4533 ,0.0103 ,0.0462 ,-0.6469 ,0.0008 ,0.0231 ,,,,,,
P04075,ALDOA,,,,-0.4179 ,0.0001 ,0.0022 ,,,,,,,,,,,,,,,,,,
P04080,CSTB,,,,-0.8708 ,0.0000 ,0.0001 ,,,,,,,-0.5305 ,0.0025 ,0.0157 ,-1.0608 ,0.0013 ,0.0287 ,,,,-0.5972 ,0.0004 ,0.0070 
P04114,APOB,,,,,,,-0.4250 ,0.0072 ,0.0305 ,,,,,,,,,,,,,-1.9663 ,0.0002 ,0.0046 
P04150,NR3C1,-0.4728 ,0.0008 ,0.0081 ,-0.3402 ,0.0101 ,0.0426 ,-0.5971 ,0.0000 ,0.0000 ,-0.4621 ,0.0039 ,0.0199 ,-0.4661 ,0.0000 ,0.0003 ,-0.3865 ,0.0015 ,0.0310 ,,,,,,
P04179,SOD2,1.2614 ,0.0000 ,0.0000 ,1.2146 ,0.0025 ,0.0157 ,1.8164 ,0.0000 ,0.0000 ,,,,0.8794 ,0.0000 ,0.0004 ,0.8173 ,0.0001 ,0.0064 ,,,,1.1030 ,0.0000 ,0.0001 
P04181,OAT,1.0282 ,0.0000 ,0.0000 ,,,,,,,,,,-0.5725 ,0.0000 ,0.0000 ,,,,,,,,,
P04196,HRG,,,,,,,,,,-1.2848 ,0.0009 ,0.0067 ,-1.4882 ,0.0005 ,0.0049 ,-1.5948 ,0.0003 ,0.0128 ,,,,-1.0312 ,0.0011 ,0.0120 
P04216,THY1,,,,,,,,,,,,,-0.7082 ,0.0003 ,0.0030 ,,,,,,,-0.3280 ,0.0075 ,0.0418 
P04217,A1BG,,,,,,,,,,-1.1907 ,0.0000 ,0.0005 ,,,,-1.2161 ,0.0005 ,0.0171 ,,,,-1.1035 ,0.0013 ,0.0134 
P04233,CD74,,,,,,,,,,,,,0.4603 ,0.0011 ,0.0083 ,,,,,,,,,
P04264,KRT1,1.9397 ,0.0052 ,0.0309 ,,,,1.3074 ,0.0015 ,0.0092 ,0.7417 ,0.0032 ,0.0174 ,,,,,,,,,,,,
P04275,VWF,,,,0.6175 ,0.0012 ,0.0092 ,,,,-0.6812 ,0.0000 ,0.0000 ,0.9445 ,0.0074 ,0.0364 ,,,,,,,,,
P04278,SHBG,,,,,,,,,,,,,-1.0111 ,0.0069 ,0.0345 ,,,,,,,,,
P04424,ASL,,,,,,,,,,,,,-0.3615 ,0.0002 ,0.0026 ,,,,,,,-0.3699 ,0.0041 ,0.0278 
P04430,IGKV1-16,,,,-0.3322 ,0.0119 ,0.0477 ,,,,,,,,,,,,,,,,,,
P04439,HLA-A,,,,,,,,,,,,,0.7521 ,0.0000 ,0.0006 ,,,,,,,,,
P04440,HLA-DPB1,,,,,,,-1.2295 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
P04632,CAPNS1,,,,-0.2871 ,0.0012 ,0.0094 ,,,,,,,,,,,,,,,,,,
P04746,AMY2A,,,,,,,,,,,,,0.7676 ,0.0049 ,0.0267 ,,,,,,,,,
P04792,HSPB1,,,,,,,,,,0.3507 ,0.0000 ,0.0007 ,,,,,,,,,,,,
P04839,CYBB,0.6515 ,0.0059 ,0.0340 ,0.3060 ,0.0085 ,0.0377 ,,,,,,,0.6167 ,0.0001 ,0.0015 ,,,,,,,0.4927 ,0.0053 ,0.0330 
P04843,RPN1,0.5262 ,0.0009 ,0.0092 ,0.5093 ,0.0003 ,0.0036 ,,,,,,,,,,,,,,,,,,
P04844,RPN2,,,,0.3715 ,0.0039 ,0.0219 ,,,,,,,,,,,,,,,,0.5475 ,0.0005 ,0.0079 
P04899,GNAI2,,,,,,,,,,,,,,,,,,,,,,0.4228 ,0.0059 ,0.0352 
P04920,SLC4A2,,,,,,,,,,0.3445 ,0.0003 ,0.0027 ,0.6099 ,0.0000 ,0.0002 ,,,,,,,,,
P04921,GYPC,,,,0.8747 ,0.0008 ,0.0071 ,,,,,,,,,,,,,,,,,,
P05023,ATP1A1,,,,0.6351 ,0.0000 ,0.0001 ,,,,0.3076 ,0.0000 ,0.0000 ,,,,,,,,,,,,
P05026,ATP1B1,,,,0.4980 ,0.0006 ,0.0055 ,,,,0.3225 ,0.0000 ,0.0001 ,,,,,,,,,,,,
P05062,ALDOB,,,,,,,-0.9617 ,0.0050 ,0.0229 ,,,,-0.3018 ,0.0099 ,0.0447 ,,,,,,,,,
P05090,APOD,,,,,,,0.6984 ,0.0001 ,0.0007 ,,,,-1.0558 ,0.0001 ,0.0016 ,,,,,,,,,
P05091,ALDH2,,,,,,,0.5127 ,0.0080 ,0.0329 ,,,,-0.4289 ,0.0069 ,0.0347 ,,,,,,,0.6189 ,0.0008 ,0.0102 
P05093,CYP17A1,,,,,,,,,,0.4143 ,0.0085 ,0.0357 ,,,,,,,,,,,,
P05106,ITGB3,,,,,,,0.6556 ,0.0010 ,0.0064 ,,,,0.6832 ,0.0007 ,0.0063 ,,,,,,,,,
P05109,S100A8,,,,,,,0.9488 ,0.0002 ,0.0020 ,0.6967 ,0.0051 ,0.0247 ,0.6852 ,0.0017 ,0.0119 ,,,,,,,,,
P05114,HMGN1,,,,,,,,,,-0.6690 ,0.0000 ,0.0006 ,,,,,,,,,,,,
P05121,SERPINE1,1.4802 ,0.0000 ,0.0008 ,,,,1.9666 ,0.0000 ,0.0000 ,1.1782 ,0.0001 ,0.0015 ,1.4861 ,0.0000 ,0.0006 ,1.8075 ,0.0009 ,0.0240 ,,,,,,
P05141,SLC25A5,0.8396 ,0.0000 ,0.0009 ,1.1729 ,0.0000 ,0.0001 ,,,,,,,0.4496 ,0.0001 ,0.0011 ,0.8881 ,0.0003 ,0.0123 ,,,,,,
P05154,SERPINA5,,,,,,,-0.6297 ,0.0002 ,0.0020 ,-0.3575 ,0.0092 ,0.0379 ,-1.3948 ,0.0002 ,0.0027 ,,,,,,,-1.0995 ,0.0066 ,0.0381 
P05155,SERPING1,,,,,,,,,,-0.7863 ,0.0104 ,0.0415 ,,,,,,,,,,,,
P05164,MPO,1.2559 ,0.0068 ,0.0376 ,,,,,,,,,,,,,,,,,,,,,
P05165,PCCA,0.2667 ,0.0072 ,0.0389 ,,,,0.3573 ,0.0001 ,0.0007 ,,,,-0.3495 ,0.0012 ,0.0092 ,,,,,,,,,
P05166,PCCB,0.3005 ,0.0001 ,0.0013 ,,,,,,,,,,-0.3429 ,0.0001 ,0.0017 ,,,,,,,,,
P05181,CYP2E1,,,,,,,0.8107 ,0.0000 ,0.0006 ,,,,,,,,,,,,,,,
P05186,ALPL,1.3733 ,0.0000 ,0.0005 ,1.1141 ,0.0002 ,0.0030 ,0.8600 ,0.0000 ,0.0000 ,,,,0.5261 ,0.0046 ,0.0257 ,0.6495 ,0.0031 ,0.0467 ,,,,0.7144 ,0.0001 ,0.0032 
P05198,EIF2S1,0.4542 ,0.0000 ,0.0006 ,,,,0.6814 ,0.0000 ,0.0000 ,,,,,,,,,,,,,0.3451 ,0.0010 ,0.0116 
P05204,HMGN2,1.0103 ,0.0003 ,0.0039 ,-0.5959 ,0.0006 ,0.0059 ,,,,,,,-0.4246 ,0.0107 ,0.0474 ,,,,,,,,,
P05230,FGF1,,,,,,,,,,-0.6983 ,0.0000 ,0.0001 ,,,,,,,,,,,,
P05362,ICAM1,,,,0.5828 ,0.0003 ,0.0038 ,1.3345 ,0.0000 ,0.0000 ,0.4176 ,0.0000 ,0.0001 ,0.8417 ,0.0000 ,0.0001 ,0.8171 ,0.0004 ,0.0149 ,,,,0.8737 ,0.0000 ,0.0009 
P05386,RPLP1,1.5856 ,0.0005 ,0.0056 ,,,,0.7350 ,0.0119 ,0.0444 ,,,,,,,,,,,,,,,
P05387,RPLP2,,,,,,,,,,-0.3389 ,0.0066 ,0.0299 ,,,,,,,,,,,,
P05388,RPLP0,0.4533 ,0.0000 ,0.0000 ,,,,0.4643 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
P05413,FABP3,,,,-1.4351 ,0.0004 ,0.0040 ,-0.7078 ,0.0126 ,0.0467 ,-0.2692 ,0.0018 ,0.0114 ,-0.5181 ,0.0063 ,0.0322 ,,,,,,,,,
P05451,REG1A,0.9502 ,0.0096 ,0.0473 ,,,,,,,,,,,,,,,,,,,,,
P05452,CLEC3B,,,,,,,,,,-1.1781 ,0.0009 ,0.0066 ,,,,,,,,,,,,
P05455,SSB,,,,,,,0.3495 ,0.0001 ,0.0011 ,,,,,,,,,,,,,,,
P05496,ATP5MC1,,,,,,,0.5811 ,0.0127 ,0.0468 ,,,,,,,,,,,,,,,
P05543,SERPINA7,,,,,,,,,,-1.3195 ,0.0002 ,0.0020 ,,,,-1.4803 ,0.0001 ,0.0069 ,,,,-1.1830 ,0.0077 ,0.0423 
P05546,SERPIND1,,,,,,,-0.9289 ,0.0002 ,0.0015 ,-0.8931 ,0.0000 ,0.0007 ,-1.1004 ,0.0007 ,0.0059 ,-1.4745 ,0.0003 ,0.0137 ,,,,-1.4885 ,0.0004 ,0.0070 
P05556,ITGB1,-0.4975 ,0.0052 ,0.0310 ,0.4833 ,0.0001 ,0.0012 ,,,,,,,,,,,,,,,,,,
P05771,PRKCB,,,,,,,0.3399 ,0.0127 ,0.0469 ,,,,,,,,,,,,,,,
P05783,KRT18,0.8854 ,0.0000 ,0.0000 ,,,,0.4540 ,0.0093 ,0.0367 ,,,,0.9079 ,0.0000 ,0.0000 ,0.5711 ,0.0001 ,0.0090 ,,,,0.4019 ,0.0037 ,0.0265 
P05787,KRT8,0.9290 ,0.0000 ,0.0000 ,,,,0.4588 ,0.0007 ,0.0049 ,,,,0.7673 ,0.0000 ,0.0000 ,0.5422 ,0.0004 ,0.0157 ,,,,,,
P05937,CALB1,,,,,,,,,,,,,-1.0704 ,0.0023 ,0.0148 ,,,,,,,,,
P06132,UROD,,,,-0.4113 ,0.0044 ,0.0240 ,,,,,,,-0.4798 ,0.0000 ,0.0001 ,,,,,,,-0.5002 ,0.0097 ,0.0486 
P06213,INSR,,,,0.9442 ,0.0000 ,0.0008 ,0.6857 ,0.0000 ,0.0001 ,,,,,,,,,,,,,0.5745 ,0.0009 ,0.0108 
P06239,LCK,-1.0212 ,0.0057 ,0.0327 ,-0.5371 ,0.0038 ,0.0212 ,,,,,,,,,,,,,,,,,,
P06241,FYN,-0.4774 ,0.0051 ,0.0306 ,,,,,,,,,,,,,,,,,,,,,
P06280,GLA,,,,,,,,,,,,,-0.3469 ,0.0057 ,0.0298 ,,,,,,,0.7577 ,0.0011 ,0.0123 
P06310,IGKV2-30,,,,,,,0.6101 ,0.0094 ,0.0371 ,,,,,,,,,,,,,,,
P06312,IGKV4-1,,,,,,,0.8793 ,0.0097 ,0.0380 ,,,,,,,,,,,,,,,
P06331,IGHV4-34,,,,,,,0.8737 ,0.0000 ,0.0003 ,,,,,,,,,,,,,,,
P06340,HLA-DOA,,,,-1.1296 ,0.0046 ,0.0246 ,,,,,,,,,,,,,,,,,,
P06396,GSN,,,,,,,,,,,,,,,,-0.7025 ,0.0000 ,0.0019 ,,,,,,
P06400,RB1,,,,,,,0.7182 ,0.0108 ,0.0411 ,,,,0.3164 ,0.0012 ,0.0092 ,,,,,,,,,
P06454,PTMA,,,,-1.4885 ,0.0046 ,0.0247 ,,,,,,,,,,,,,,,,,,
P06493,CDK1,,,,,,,0.6584 ,0.0006 ,0.0045 ,,,,,,,,,,,,,,,
P06576,ATP5F1B,0.4185 ,0.0002 ,0.0029 ,,,,0.3023 ,0.0000 ,0.0002 ,,,,,,,,,,,,,,,
P06681,C2,,,,,,,,,,-1.0314 ,0.0038 ,0.0195 ,,,,,,,,,,-0.9624 ,0.0004 ,0.0065 
P06702,S100A9,,,,,,,0.9636 ,0.0004 ,0.0034 ,0.4397 ,0.0093 ,0.0382 ,,,,,,,,,,,,
P06703,S100A6,,,,,,,-0.3029 ,0.0089 ,0.0358 ,,,,,,,,,,,,,0.3799 ,0.0048 ,0.0311 
P06727,APOA4,,,,,,,0.7246 ,0.0000 ,0.0003 ,,,,,,,,,,,,,-1.4751 ,0.0034 ,0.0252 
P06730,EIF4E,0.3615 ,0.0018 ,0.0148 ,,,,,,,,,,,,,,,,,,,,,
P06732,CKM,,,,,,,,,,0.3002 ,0.0051 ,0.0247 ,,,,,,,,,,,,
P06733,ENO1,0.3377 ,0.0022 ,0.0170 ,-0.6445 ,0.0000 ,0.0001 ,,,,,,,-0.2916 ,0.0005 ,0.0048 ,,,,,,,,,
P06737,PYGL,,,,,,,-1.1093 ,0.0006 ,0.0043 ,,,,,,,,,,,,,,,
P06744,GPI,,,,-0.4989 ,0.0000 ,0.0004 ,,,,,,,,,,,,,,,,,,
P06746,POLB,,,,,,,0.4586 ,0.0000 ,0.0005 ,,,,,,,,,,,,,,,
P06748,NPM1,0.7406 ,0.0000 ,0.0001 ,,,,0.8368 ,0.0000 ,0.0000 ,,,,,,,0.3834 ,0.0025 ,0.0417 ,,,,,,
P06756,ITGAV,0.4668 ,0.0000 ,0.0008 ,0.3351 ,0.0013 ,0.0100 ,,,,-0.3920 ,0.0014 ,0.0096 ,0.4380 ,0.0000 ,0.0000 ,,,,,,,,,
P06865,HEXA,,,,,,,,,,,,,-0.5869 ,0.0001 ,0.0012 ,,,,,,,0.5658 ,0.0085 ,0.0449 
P06899,H2BC11,,,,,,,,,,-0.6076 ,0.0000 ,0.0000 ,,,,,,,,,,,,
P07093,SERPINE2,0.3611 ,0.0086 ,0.0438 ,,,,,,,-0.8551 ,0.0060 ,0.0279 ,,,,,,,,,,,,
P07099,EPHX1,,,,0.3133 ,0.0068 ,0.0321 ,,,,,,,0.3276 ,0.0005 ,0.0050 ,,,,,,,0.6531 ,0.0013 ,0.0138 
P07108,DBI,,,,-1.0630 ,0.0000 ,0.0010 ,,,,-0.4985 ,0.0012 ,0.0087 ,,,,,,,,,,-0.9002 ,0.0030 ,0.0231 
P07148,FABP1,,,,,,,-0.9914 ,0.0119 ,0.0444 ,0.4530 ,0.0095 ,0.0388 ,,,,,,,,,,,,
P07195,LDHB,,,,-0.4846 ,0.0000 ,0.0006 ,,,,,,,-0.3710 ,0.0011 ,0.0087 ,,,,,,,-0.3267 ,0.0092 ,0.0469 
P07196,NEFL,,,,,,,,,,1.3201 ,0.0111 ,0.0435 ,,,,,,,,,,,,
P07203,GPX1,,,,,,,0.2644 ,0.0052 ,0.0236 ,,,,,,,,,,,,,,,
P07204,THBD,,,,0.5624 ,0.0051 ,0.0263 ,,,,0.4969 ,0.0074 ,0.0326 ,0.4637 ,0.0070 ,0.0351 ,,,,,,,,,
P07205,PGK2,-0.4947 ,0.0069 ,0.0380 ,,,,,,,,,,,,,,,,,,,,,
P07225,PROS1,,,,,,,,,,-0.5009 ,0.0020 ,0.0125 ,,,,,,,,,,,,
P07237,P4HB,0.9354 ,0.0001 ,0.0019 ,,,,,,,,,,,,,,,,,,,,,
P07305,H1-0,,,,,,,-0.3913 ,0.0074 ,0.0312 ,,,,,,,,,,,,,,,
P07311,ACYP1,,,,-0.3627 ,0.0001 ,0.0017 ,,,,-0.3690 ,0.0000 ,0.0001 ,,,,,,,,,,,,
P07327,ADH1A,,,,,,,-1.7797 ,0.0020 ,0.0116 ,,,,,,,,,,,,,,,
P07339,CTSD,1.0684 ,0.0082 ,0.0426 ,,,,0.5034 ,0.0011 ,0.0072 ,0.5848 ,0.0000 ,0.0000 ,,,,,,,,,,0.8327 ,0.0000 ,0.0014 
P07355,ANXA2,,,,0.3419 ,0.0007 ,0.0063 ,,,,,,,,,,,,,,,,,,
P07384,CAPN1,,,,-0.4830 ,0.0001 ,0.0011 ,,,,,,,,,,,,,,,,,,
P07437,TUBB,,,,-0.2842 ,0.0000 ,0.0006 ,,,,,,,,,,,,,,,,-0.3791 ,0.0019 ,0.0174 
P07477,PRSS1,2.0236 ,0.0104 ,0.0499 ,,,,,,,,,,,,,,,,,,,,,
P07478,PRSS2,,,,,,,,,,,,,0.9929 ,0.0096 ,0.0438 ,,,,,,,,,
P07585,DCN,,,,,,,,,,-0.6859 ,0.0005 ,0.0042 ,,,,,,,,,,,,
P07602,PSAP,0.7979 ,0.0095 ,0.0470 ,0.8733 ,0.0033 ,0.0193 ,,,,0.7896 ,0.0000 ,0.0000 ,,,,,,,,,,,,
P07686,HEXB,0.8204 ,0.0033 ,0.0223 ,,,,,,,,,,-0.3629 ,0.0084 ,0.0399 ,,,,,,,0.4537 ,0.0005 ,0.0079 
P07711,CTSL,1.5274 ,0.0001 ,0.0012 ,0.7936 ,0.0039 ,0.0219 ,,,,,,,,,,,,,,,,0.8871 ,0.0002 ,0.0050 
P07737,PFN1,,,,-0.5351 ,0.0000 ,0.0005 ,-0.2880 ,0.0008 ,0.0057 ,-0.4077 ,0.0000 ,0.0000 ,,,,,,,,,,,,
P07738,BPGM,,,,-1.2485 ,0.0065 ,0.0313 ,-0.6754 ,0.0023 ,0.0127 ,,,,,,,,,,,,,,,
P07741,APRT,,,,-1.3167 ,0.0001 ,0.0020 ,-0.7068 ,0.0000 ,0.0006 ,,,,-0.8121 ,0.0000 ,0.0000 ,-0.4736 ,0.0000 ,0.0032 ,,,,-0.4541 ,0.0064 ,0.0371 
P07814,EPRS1,0.3896 ,0.0044 ,0.0273 ,,,,,,,,,,,,,,,,,,,,,
P07858,CTSB,1.4533 ,0.0025 ,0.0186 ,,,,,,,0.3588 ,0.0001 ,0.0013 ,,,,,,,,,,0.8547 ,0.0057 ,0.0340 
P07900,HSP90AA1,,,,-0.4087 ,0.0000 ,0.0009 ,,,,,,,,,,,,,,,,,,
P07902,GALT,-0.4380 ,0.0095 ,0.0471 ,-0.3290 ,0.0097 ,0.0414 ,-1.0154 ,0.0100 ,0.0391 ,,,,-0.2963 ,0.0002 ,0.0026 ,,,,,,,,,
P07910,HNRNPC,,,,,,,,,,,,,,,,,,,,,,0.3280 ,0.0052 ,0.0327 
P07919,UQCRH,1.5336 ,0.0009 ,0.0090 ,1.5394 ,0.0007 ,0.0063 ,0.9201 ,0.0082 ,0.0335 ,0.4132 ,0.0003 ,0.0030 ,,,,,,,,,,,,
P07942,LAMB1,,,,0.3733 ,0.0108 ,0.0448 ,,,,,,,,,,,,,,,,,,
P07954,FH,0.4064 ,0.0004 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,
P07988,SFTPB,0.8598 ,0.0053 ,0.0312 ,,,,,,,,,,,,,,,,,,,2.9977 ,0.0017 ,0.0158 
P07992,ERCC1,,,,,,,0.3554 ,0.0033 ,0.0167 ,,,,,,,,,,,,,,,
P07996,THBS1,,,,,,,1.2478 ,0.0000 ,0.0000 ,1.0755 ,0.0001 ,0.0010 ,0.6603 ,0.0106 ,0.0471 ,0.9323 ,0.0004 ,0.0161 ,,,,,,
P08069,IGF1R,,,,,,,,,,,,,,,,,,,,,,0.3766 ,0.0007 ,0.0096 
P08123,COL1A2,,,,,,,,,,-0.9936 ,0.0004 ,0.0038 ,,,,,,,,,,,,
P08174,CD55,,,,,,,,,,,,,,,,,,,,,,0.9165 ,0.0000 ,0.0012 
P08183,ABCB1,,,,,,,0.6313 ,0.0000 ,0.0000 ,,,,-0.6120 ,0.0000 ,0.0004 ,,,,,,,,,
P08185,SERPINA6,,,,,,,-0.7008 ,0.0000 ,0.0000 ,-1.3890 ,0.0001 ,0.0013 ,-1.1016 ,0.0024 ,0.0154 ,-1.3029 ,0.0003 ,0.0128 ,,,,-1.5320 ,0.0009 ,0.0106 
P08195,SLC3A2,0.4219 ,0.0003 ,0.0035 ,0.7438 ,0.0000 ,0.0002 ,,,,0.3335 ,0.0000 ,0.0002 ,-0.4677 ,0.0003 ,0.0032 ,,,,,,,,,
P08236,GUSB,,,,,,,,,,,,,-0.6652 ,0.0001 ,0.0010 ,,,,,,,0.5121 ,0.0053 ,0.0331 
P08237,PFKM,-0.3322 ,0.0041 ,0.0263 ,,,,,,,0.4014 ,0.0000 ,0.0000 ,,,,,,,,,,,,
P08238,HSP90AB1,,,,-0.5167 ,0.0000 ,0.0001 ,,,,,,,,,,,,,,,,,,
P08240,SRPRA,0.6623 ,0.0035 ,0.0232 ,0.4553 ,0.0006 ,0.0054 ,,,,,,,,,,0.3574 ,0.0002 ,0.0103 ,,,,,,
P08243,ASNS,,,,,,,0.4684 ,0.0114 ,0.0430 ,0.5476 ,0.0005 ,0.0045 ,,,,,,,,,,,,
P08253,MMP2,0.5600 ,0.0045 ,0.0279 ,,,,,,,,,,0.5198 ,0.0049 ,0.0266 ,,,,,,,0.9833 ,0.0003 ,0.0063 
P08263,GSTA1,,,,,,,-1.5087 ,0.0021 ,0.0119 ,0.5020 ,0.0053 ,0.0253 ,-1.0380 ,0.0000 ,0.0000 ,,,,,,,,,
P08294,SOD3,,,,,,,,,,-0.6604 ,0.0000 ,0.0000 ,-0.5608 ,0.0003 ,0.0033 ,-0.9512 ,0.0000 ,0.0039 ,,,,,,
P08319,ADH4,,,,,,,-1.6367 ,0.0010 ,0.0066 ,0.5372 ,0.0032 ,0.0172 ,,,,,,,,,,,,
P08397,HMBS,,,,-0.6632 ,0.0085 ,0.0378 ,,,,,,,,,,,,,,,,,,
P08473,MME,,,,,,,,,,-0.8666 ,0.0002 ,0.0019 ,-0.6331 ,0.0021 ,0.0139 ,,,,,,,,,
P08493,MGP,,,,1.3825 ,0.0023 ,0.0147 ,,,,,,,,,,,,,,,,,,
P08514,ITGA2B,,,,,,,0.5375 ,0.0045 ,0.0211 ,,,,,,,,,,,,,,,
P08519,LPA,,,,-1.0410 ,0.0012 ,0.0093 ,,,,,,,,,,,,,,,,,,
P08559,PDHA1,0.3574 ,0.0012 ,0.0113 ,,,,,,,,,,,,,,,,,,,,,
P08567,PLEK,,,,-0.8358 ,0.0070 ,0.0327 ,,,,,,,,,,,,,,,,,,
P08571,CD14,,,,0.9458 ,0.0000 ,0.0006 ,,,,,,,0.7873 ,0.0000 ,0.0001 ,,,,,,,,,
P08572,COL4A2,,,,0.7719 ,0.0000 ,0.0004 ,,,,,,,0.5642 ,0.0052 ,0.0277 ,,,,,,,,,
P08574,CYC1,,,,0.3254 ,0.0041 ,0.0224 ,,,,-0.4870 ,0.0004 ,0.0038 ,,,,,,,,,,,,
P08579,SNRPB2,0.4456 ,0.0006 ,0.0063 ,0.3458 ,0.0046 ,0.0247 ,0.3686 ,0.0028 ,0.0146 ,,,,,,,,,,,,,0.4090 ,0.0032 ,0.0242 
P08582,MELTF,0.7148 ,0.0001 ,0.0020 ,,,,,,,,,,,,,,,,,,,0.5715 ,0.0066 ,0.0381 
P08590,MYL3,1.1473 ,0.0002 ,0.0034 ,,,,,,,,,,,,,,,,,,,,,
P08603,CFH,-0.4875 ,0.0035 ,0.0232 ,,,,,,,,,,,,,,,,,,,,,
P08621,SNRNP70,0.2925 ,0.0039 ,0.0252 ,0.3688 ,0.0022 ,0.0144 ,0.4526 ,0.0000 ,0.0003 ,,,,,,,,,,,,,0.3163 ,0.0016 ,0.0155 
P08631,HCK,,,,0.2847 ,0.0028 ,0.0171 ,,,,,,,0.3712 ,0.0001 ,0.0013 ,,,,,,,,,
P08648,ITGA5,,,,,,,,,,0.3235 ,0.0014 ,0.0099 ,,,,,,,,,,,,
P08651,NFIC,,,,,,,,,,,,,,,,,,,,,,0.6204 ,0.0011 ,0.0123 
P08697,SERPINF2,,,,,,,,,,-0.6795 ,0.0093 ,0.0382 ,,,,-0.8056 ,0.0007 ,0.0215 ,,,,-1.8352 ,0.0072 ,0.0404 
P08708,RPS17,0.6439 ,0.0000 ,0.0000 ,,,,0.4200 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,
P08727,KRT19,1.0138 ,0.0000 ,0.0006 ,,,,,,,,,,0.5404 ,0.0007 ,0.0064 ,,,,,,,,,
P08729,KRT7,,,,,,,,,,,,,0.7023 ,0.0030 ,0.0180 ,,,,,,,,,
P08754,GNAI3,,,,,,,,,,,,,0.3290 ,0.0001 ,0.0013 ,0.4448 ,0.0006 ,0.0200 ,,,,,,
P08758,ANXA5,,,,,,,,,,-0.3548 ,0.0000 ,0.0000 ,,,,-0.4093 ,0.0000 ,0.0024 ,,,,,,
P08779,KRT16,,,,,,,1.1835 ,0.0023 ,0.0127 ,0.5941 ,0.0026 ,0.0147 ,,,,,,,,,,,,
P08842,STS,,,,,,,,,,,,,0.5001 ,0.0023 ,0.0150 ,,,,,,,0.7650 ,0.0007 ,0.0096 
P08865,RPSA,0.6336 ,0.0000 ,0.0004 ,0.3459 ,0.0026 ,0.0165 ,0.4578 ,0.0013 ,0.0078 ,,,,,,,0.5763 ,0.0030 ,0.0461 ,,,,,,
P08962,CD63,0.5300 ,0.0004 ,0.0046 ,1.2095 ,0.0020 ,0.0136 ,,,,,,,1.0012 ,0.0000 ,0.0003 ,,,,,,,,,
P09001,MRPL3,0.4080 ,0.0089 ,0.0449 ,0.6331 ,0.0000 ,0.0001 ,0.8130 ,0.0000 ,0.0000 ,0.3446 ,0.0000 ,0.0002 ,,,,,,,,,,,,
P09012,SNRPA,0.4863 ,0.0000 ,0.0004 ,,,,0.3960 ,0.0009 ,0.0062 ,,,,,,,,,,,,,0.3205 ,0.0099 ,0.0492 
P09038,FGF2,,,,,,,-0.6819 ,0.0001 ,0.0012 ,,,,,,,,,,,,,,,
P09104,ENO2,,,,-0.7193 ,0.0091 ,0.0398 ,,,,,,,,,,,,,,,,-0.4845 ,0.0052 ,0.0328 
P09110,ACAA1,,,,,,,-0.3589 ,0.0116 ,0.0438 ,,,,,,,,,,,,,,,
P09132,SRP19,,,,,,,0.5577 ,0.0001 ,0.0013 ,,,,,,,,,,,,,,,
P09210,GSTA2,,,,,,,-1.0444 ,0.0048 ,0.0223 ,,,,-1.3325 ,0.0003 ,0.0033 ,,,,,,,,,
P09211,GSTP1,,,,-0.8285 ,0.0000 ,0.0004 ,-0.5729 ,0.0025 ,0.0135 ,,,,,,,,,,,,,,,
